Colonne 1,en,fr,de,ja,es,it,pt,ru,ko,zh,Colonne 12
ENGLISH,English,Anglais,Englisch,英語,Inglés,Inglese,Inglês,Английский,영어,英语,
FRENCH,French,Français,Französisch,フランス語,Francés,Francese,Francês,Французский,프랑스어,法语,
GERMAN,German,Allemand,Deutsch,ドイツ語,Alemán,Tedesco,Alemão,Немецкий,독일어,德语,
JAPANESE,Japanese,Japonais,Japanisch,日本語,Japonés,Giapponese,Japonês,Японский,일본어,日语,
SPANISH,Spanish,Espagnol,Spanisch,スペイン語,Español,Spagnolo,Espanhol,Испанский,스페인어,西班牙语,
ITALIAN,Italian,Italien,Italienisch,イタリア語,Italiano,Italiano,Italiano,Итальянский,이탈리아어,意大利语,
PORTUGUESE,Portuguese,Portugais,Portugiesisch,ポルトガル語,Portugués,Portoghese,Português,Португальский,포르투갈어,葡萄牙语,
RUSSIAN,Russian,Russe,Russisch,ロシア語,Ruso,Russo,Russo,Русский,러시아어,俄语,
KOREAN,Korean,Coréen,Koreanisch,韓国語,Coreano,Coreano,Coreano,Корейский,한국어,韩语,
CHINESE,Chinese,Chinois,Chinesisch,中国語,Chino,Cinese,Chinês,Китайский,중국어,中文,
ARABIC,Arabic,Arabe,Arabisch,アラビア語,Árabe,Arabo,Árabe,Арабский,아랍어,阿拉伯语,
ID_GAME_NAME,SHMUP English,SHMUP Français,SHMUP Deutsch,SHMUP 日本語,SHMUP Español,SHMUP Italiano,SHMUP Português,SHMUP Русский,SHMUP 한국어,SHMUP 中文,
ID_PLAY,Play,Jouer,Spielen,遊ぶ,Jugar,Giocare,Jogar,Играть,플레이,玩,
ID_SETTINGS,Settings,Paramètres,Einstellungen,設定,Configuración,Impostazioni,Configurações,Настройки,설정,设置,
ID_HELP,Help,Aide,Hilfe,ヘルプ,Ayuda,Aiuto,Ajuda,Помощь,도움말,帮助,
ID_CREDITS,Credits,Crédits,Credits,クレジット,Créditos,Crediti,Créditos,Авторы,크레딧,鸣谢,
ID_QUIT,Quit,Quitter,Beenden,終了,Salir,Esci,Sair,Выход,종료,退出,
ID_LANGUAGE_SELECTION,Language Selection,Sélection de la langue,Sprachauswahl,言語選択,Selección de Idioma,Selezione Lingua,Seleção de Idioma,Выбор языка,언어 선택,语言选择,
ID_FULLSCREEN,Fullscreen,Plein écran,Vollbild,全画面,Pantalla Completa,Schermo Intero,Tela Cheia,Полный экран,전체 화면,全屏,
ID_RETURN,Return,Retour,Zurück,戻る,Volver,Ritorna,Voltar,Назад,돌아가기,返回,
ID_SCREEN_RESOLUTION,Screen Resolution,Résolution d'écran,Bildschirmauflösung,画面解像度,Resolución de Pantalla,Risoluzione Schermo,Resolução de Tela,Разрешение экрана,화면 해상도,屏幕分辨率,
ID_VOLUME,Volume,Volume,Lautstärke,音量,Volumen,Volume,Volume,Громкость,볼륨,音量,
ID_HIGH_SCORE,High Score,Meilleurs Scores,Highscore,ハイスコア,Puntuación Máxima,Punteggio Più Alto,Pontuação Máxima,Рекорд,최고 점수,最高分,
ID_MAIN_VOLUME,Main Volume,Volume principal,Hauptlautstärke,メイン音量,Volumen principal,Volume principale,Volume principal,Общая громкость,마스터 볼륨,主音量,
ID_MUSIC_VOLUME,Music Volume,Volume de la musique,Musiklautstärke,音楽音量,Volumen de música,Volume musica,Volume da música,Громкость музыки,음악 볼륨,音乐音量,
ID_SFX_VOLUME,SFX Volume,Volume des effets sonores,SFX-Lautstärke,効果音量,Volumen de efectos,Volume effetti sonori,Volume dos efeitos sonoros,Громкость SFX,효과음 볼륨,音效音量,
ID_BACK,Back,Retour,Zurück,戻る,Atrás,Indietro,Voltar,Назад,뒤로,返回,
ID_MOVEMENT,Movement,Déplacement,Bewegung,移動,Movimiento,Movimento,Movimento,Движение,움직임,移动,
ID_PAUSE_PLAY,Pause,Pause,Pause,壊す,Pausa,Pausa,Pausa,Пауза,부서지다,暂停,
ID_GDP,Game Design & Programming,Conception et programmation de jeux,Spieldesign & Programmierung,ゲームデザイン＆プログラミング,Diseño y programación de juegos,Progettazione e programmazione di giochi,Design e programação de jogos,Дизайн и программирование игр,게임 디자인 및 프로그래밍,游戏设计与编程,
ID_MS,Music & Sound Design,Musique et conception sonore,Musik & Sounddesign,音楽＆サウンドデザイン,Música y diseño de sonido,Musica e sound design,Música e design de som,Музыка и звуковой дизайн,음악 및 사운드 디자인,音乐与声音设计,
ID_LEAVEGAME,Leave Game,Quitter le jeu,Spiel verlassen,ゲームを終了,Abandonar juego,Abbandona partita,Sair do Jogo,Выход из игры,게임 종료,离开游戏,
ID_RETRY,Retry,Réessayer,Wiederholen,再試行,Reintentar,Riprova,Tentar Novamente,Повторить,다시 시도,重试,
ID_USE_SPECIAL,Use the Special Feature to pass,Utiliser la fonction spéciale pour passer,"Nutze die Sonderfunktion, um zu bestehen",特別な機能を使ってパスする,Usa la característica especial para pasar,Usa la funzione speciale per passare,Use o recurso especial para passar,"Используйте особую функцию, чтобы пройти",특별 기능을 사용하여 통과하세요,使用特殊功能通过,
ID_USE_SMARTBOMB,Use the SmartBomb to kill all enemies,Utiliser la bombe intelligente pour tuer tous les ennemis,"Nutze die Smartbombe, um alle Feinde zu töten",スマートボムを使って全ての敵を倒す,Usa la Smartbomb para matar a todos los enemigos,Usa la Smartbomb per uccidere tutti i nemici,Use a Bomba Inteligente para matar todos os inimigos,"Используйте Смарт-бомбу, чтобы убить всех врагов",스마트밤을 사용하여 모든 적을 처치하세요,使用智能炸弹杀死所有敌人,
ID_VICTORY,Victory,Victoire,Sieg,勝利,Victoria,Vittoria,Vitória,Победа,승리,胜利,
ID_GAME_OVER,Game Over,Fin de partie,Spiel ist aus,ゲームオーバー,Fin del juego,Game Over,Fim de Jogo,Игра окончена,게임 오버,游戏结束,
ID_SPECIAL_FEATURE_TEXT,Activates a shield that reflects enemy shots. It also reflects lasers. The special bar fills up by collecting blue orbs. It can be activated at any time.,Active un bouclier qui renvoie les tirs ennemis. Il renvoie aussi les lasers. La barre de spécial se remplit en ramassant les orbes bleus. Elle peut s'activer n'importe quand.,"Aktiviert einen Schild, der feindliche Schüsse zurückwirft. Er wirft auch Laser zurück. Die Spezialleiste füllt sich durch das Sammeln blauer Kugeln. Sie kann jederzeit aktiviert werden.",敵の弾を反射するシールドを作動させます。レーザーも反射します。青いオーブを集めるとスペシャルゲージが溜まります。いつでも発動可能です。,Activa un escudo que refleja los disparos enemigos. También refleja los láseres. La barra especial se llena recogiendo orbes azules. Se puede activar en cualquier momento.,Attiva uno scudo che riflette i colpi nemici. Riflette anche i laser. La barra speciale si riempie raccogliendo sfere blu. Può essere attivata in qualsiasi momento.,Ativa um escudo que reflete os tiros inimigos. Também reflete lasers. A barra especial enche ao coletar orbes azuis. Pode ser ativada a qualquer momento.,"Активирует щит, отражающий вражеские выстрелы. Он также отражает лазеры. Специальная шкала заполняется при сборе синих сфер. Её можно активировать в любое время.",적의 탄환을 반사하는 보호막을 활성화합니다. 레이저도 반사합니다. 파란색 구슬을 모으면 특수 게이지가 채워집니다. 언제든지 활성화할 수 있습니다.,激活护盾反射敌人射击。它也能反射激光。收集蓝色球体可填充特殊条。随时可以激活。,
ID_PROJECT_MANAGER,Project Manager,Chef de projet,Projektmanager,プロジェクトマネージャー,Gestor de proyectos,Project Manager,Gerente de Projetos,Руководитель проекта,프로젝트 매니저,项目经理,
ID_GAME_DIRECTOR,Game Director,Directeur de jeu,Game Director,ゲームディレクター,Director del juego,Game Director,Diretor de Jogo,Игровой директор,게임 디렉터,游戏总监,
ID_LEAD_GAME_DESIGNER,Lead Game Designer,Lead Game Designer,Leitender Game Designer,リードゲームデザイナー,Diseñador de juego principal,Lead Game Designer,Lead Game Designer,Ведущий геймдизайнер,리드 게임 디자이너,首席游戏设计师,
ID_LEAD_GAMEPLAY_PROGRAMMER,Lead Gameplay Programmer,Lead Gameplay Programmer,Leitender Gameplay-Programmierer,リードゲームプレイプログラマー,Programador de jugabilidad principal,Lead Gameplay Programmer,Programador de Gameplay Líder,Ведущий геймплей-программист,리드 게임플레이 프로그래머,首席游戏玩法程序员,
ID_ART_DIRECTOR,Art Director,Directeur artistique,Art Director,アートディレクター,Director de arte,Art Director,Diretor de Arte,Арт-директор,아트 디렉터,艺术总监,
ID_LEAD_UX,Lead UX,Lead UX,Leitender UX-Designer,リードUXデザイナー,Diseñador UX principal,Lead UX,Lead UX,Ведущий UX-дизайнер,리드 UX,首席UX设计师,
ID_LEAD_SOUND_DESIGNER,Lead Sound Designer,Lead Sound Designer,Leitender Sounddesigner,リードサウンドデザイナー,Diseñador de sonido principal,Lead Sound Designer,Lead Sound Designer,Ведущий саунд-дизайнер,리드 사운드 디자이너,首席音效设计师,
ID_SCORE,Score,Score,Punktzahl,スコア,Puntuación,Punteggio,Pontuação,Счет,점수,分数,
ID_PREVIOUS_SCORE,Previous Score,Score Precedent,Vorherige Punktzahl,前回のスコア,Puntuación Anterior,Punteggio Precedente,Pontuação Anterior,Предыдущий счет,이전 점수,上次分数,
ID_STAR,Star,Etoile,Stern,星,Estrella,Stella,Estrela,Звезда,별,星星,
ID_HOW_TO_PLAY,How To Play,Comment jouer,Spielanleitung,遊び方,Cómo jugar,Come giocare,Como jogar,Как играть,게임 방법,怎么玩,
ID_WIN,Victory !,Victoire !,Sieg !,勝利！,¡Victoria!,Vittoria !,Vitória !,Победа !,승리 !,胜利！,
ID_NEXT,Next,Continuer,Weiter,次へ,Siguiente,Avanti,Próximo,Далее,다음,继续,
ID_LEVEL_SELECTOR,Level selector,Selecteur de level,Levelauswahl,レベル選択,Selector de nivel,Selezione livello,Seletor de nível,Выбор уровня,레벨 선택,关卡选择,
ID_UNDO,Undo,Reculer,Rückgängig,元に戻す,Deshacer,Annulla,Desfazer,Отменить,실행 취소,撤销,
ID_REDO,Redo,Avancer,Wiederholen,やり直す,Rehacer,Ripeti,Refazer,Повторить,다시 실행,重做,
ID_PAR,Par,Par,Par,パー,Par,Par,Par,Пар,파,标准步数,
ID_STEP,Step,Pas,Schritt,ステップ,Paso,Passo,Passo,Шаг,걸음,步,
ID_AUTHOR,Author,Auteur,Autor,作者,Autor,Autore,Autor,Автор,제작자,作者,
ID_RANKING_BOARD,Ranking Board,Classement,Rangliste,ランキング,Clasificación,Classifica,Classificação,Таблица лидеров,랭킹,排行榜,
ID_DISCONNECT,Disconnect,Deconnexion,Trennen,切断,Desconectar,Disconnetti,Desconectar,Отключиться,연결 끊기,断开连接,
ID_RESET_CAMERA,Reset Camera,Réinitialiser la caméra,Kamera zurücksetzen,カメラをリセット,Restablecer cámara,Ripristina telecamera,Redefinir câmera,Сбросить камеру,카메라 초기화,重置相机,
ID_CUBE,Dice,Dé,Würfel,ダイス,Dado,Dado,Dado,Кубик,주사위,骰子,
ID_CUBE_TEXT,"When the player pushes a crate, it rotates on the pushing axis","quand le joueur pousse une caisse, celle ci effectue une rotation sur l'axe de poussé","Wenn der Spieler eine Kiste schiebt, dreht sie sich um die Schubachse",プレイヤーが木箱を押すと、押した軸を中心に回転します,"Cuando el jugador empuja una caja, esta gira sobre el eje de empuje","Quando il giocatore spinge una cassa, questa ruota sull'asse di spinta","Quando o jogador empurra uma caixa, ela gira no eixo de empurrão","Когда игрок толкает ящик, он вращается по оси толчка","플레이어가 상자를 밀면, 미는 축을 기준으로 회전합니다",当玩家推动箱子时，它会沿着推动轴旋转,
ID_CASINO,Casino Block,Bloc Casino,Casino-Block,カジノブロック,Bloque Casino,Blocco Casinò,Bloco Cassino,Блок казино,카지노 블록,赌场方块,
ID_CASINO_TEXT,It allows the cube to pass a certain number of times before becoming a wall. The remaining number of passes is indicated on it,il permet de laisser passer le cube un certains nombre de fois avant de devenir un mur. Le nombre de passage restant est indiqué dessus,"Er lässt den Würfel eine bestimmte Anzahl von Malen passieren, bevor er zu einer Wand wird. Die verbleibende Anzahl an Durchgängen ist darauf angegeben",キューブが壁になる前に、指定された回数だけ通過させることができます。残りの通過回数は上に表示されます,Permite que el cubo pase un número determinado de veces antes de convertirse en un muro. El número de pases restantes se indica en él,Permette al cubo di passare un certo numero di volte prima di diventare un muro. Il numero di passaggi rimanenti è indicato su di esso,Ele permite que o cubo passe um certo número de vezes antes de se tornar um muro. O número de passagens restantes é indicado nele,"Позволяет кубику пройти определенное количество раз, прежде чем он станет стеной. Оставшееся количество прохождений указано на нем",큐브가 벽이 되기 전까지 일정 횟수 통과할 수 있게 해줍니다. 남은 통과 횟수는 그 위에 표시됩니다,允许立方体通过一定次数，之后就会变成一堵墙。剩余的通过次数会显示在上面,
ID_LOGIN,Login,Connexion,,,,,,,,,
ID_CREATE_ACC,Create an Account,Créer Compte,,,,,,,,,
ID_UNLOCK,Unlock,Débloqué,,,,,,,,,
ID_TARGET,Target,Cible,,,,,,,,,
ID_TARGET_TEXT,The face of the cube containing the symbol must be facing upward when it reaches the target,la face du cube contenant le symbole doit etre tourné vers le haut au moment ou elle arrive sur la cible,,,,,,,,,
ID_CAMERA,Camera,Camera,,,,,,,,,
ID_CAMERA_TEXT,The A and E keys allow the level to be rotated by 90°,les touches A et E permettent de faire tourner le niveau à 90°,,,,,,,,,
ID_MENU,Main Menu,Menu Principal,,,,,,,,,